Broker,Exchange,OrderType,Quarter,Rebate,MarketCenter,MktShare,Rebate_Dummy,Obs_id
AXA,NASDAQ,Market,2016Q2,0.0,G1ES,0.28600000000000003,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2016Q2,0.0,SGMA,0.0676,0,AXA-SGMA-NASDAQ-Market
AXA,NASDAQ,Market,2016Q2,0.0,UBSS,0.0493,0,AXA-UBSS-NASDAQ-Market
AXA,NASDAQ,Market,2016Q2,0.0,VRTU,0.233,0,AXA-VRTU-NASDAQ-Market
AXA,NASDAQ,Market,2016Q3,0.0,CDRG,0.157,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2016Q3,0.0,CFCO,0.1136,0,AXA-CFCO-NASDAQ-Market
AXA,NASDAQ,Market,2016Q3,0.0,G1ES,0.3583,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2016Q3,0.0,SGMA,0.0929,0,AXA-SGMA-NASDAQ-Market
AXA,NASDAQ,Market,2016Q3,0.0,VRTU,0.2127,0,AXA-VRTU-NASDAQ-Market
AXA,NASDAQ,Market,2016Q4,0.0,CDRG,0.1384,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2016Q4,0.0,CFCO,0.0892,0,AXA-CFCO-NASDAQ-Market
AXA,NASDAQ,Market,2016Q4,0.0,G1ES,0.3659,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2016Q4,0.0,SGMA,0.105,0,AXA-SGMA-NASDAQ-Market
AXA,NASDAQ,Market,2016Q4,0.0,UBSS,0.0675,0,AXA-UBSS-NASDAQ-Market
AXA,NASDAQ,Market,2016Q4,0.0,VRTU,0.2041,0,AXA-VRTU-NASDAQ-Market
AXA,NASDAQ,Market,2017Q1,0.0,CDRG,0.1428,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2017Q1,0.0,CFCO,0.0326,0,AXA-CFCO-NASDAQ-Market
AXA,NASDAQ,Market,2017Q1,0.0,G1ES,0.3674,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2017Q1,0.0,SGMA,0.1882,0,AXA-SGMA-NASDAQ-Market
AXA,NASDAQ,Market,2017Q1,0.0,VRTU,0.1928,0,AXA-VRTU-NASDAQ-Market
AXA,NASDAQ,Market,2017Q2,0.0,CDRG,0.2126,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2017Q2,0.0,G1ES,0.3361,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2017Q2,0.0,SGMA,0.1914,0,AXA-SGMA-NASDAQ-Market
AXA,NASDAQ,Market,2017Q2,0.0,VRTU,0.1726,0,AXA-VRTU-NASDAQ-Market
AXA,NASDAQ,Market,2017Q3,0.0,CDRG,0.2642,0,AXA-CDRG-NASDAQ-Market
AXA,NASDAQ,Market,2017Q3,0.0,CFCO,0.0192,0,AXA-CFCO-NASDAQ-Market
AXA,NASDAQ,Market,2017Q3,0.0,G1ES,0.3408,0,AXA-G1ES-NASDAQ-Market
AXA,NASDAQ,Market,2017Q3,0.0,SGMA,0.1754,0,AXA-SGMA-NASDAQ-Market
AXA,NASDAQ,Market,2017Q3,0.0,UBSS,0.0534,0,AXA-UBSS-NASDAQ-Market
AXA,NASDAQ,Market,2017Q3,0.0,VRTU,0.1341,0,AXA-VRTU-NASDAQ-Market
AXA,NASDAQ,Other,2014Q1,0.0,ATDF,0.2246,0,AXA-ATDF-NASDAQ-Other
AXA,NASDAQ,Other,2014Q1,0.0,CDRG,0.3879,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2014Q1,0.0,FBCO,0.0663,0,AXA-FBCO-NASDAQ-Other
AXA,NASDAQ,Other,2014Q1,0.0,G1ES,0.0793,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2014Q1,0.0,KCG,0.1944,0,AXA-KCG-NASDAQ-Other
AXA,NASDAQ,Other,2014Q2,0.0,ATDF,0.2633,0,AXA-ATDF-NASDAQ-Other
AXA,NASDAQ,Other,2014Q2,0.0,CDRG,0.4125,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2014Q2,0.0,FBCO,0.0634,0,AXA-FBCO-NASDAQ-Other
AXA,NASDAQ,Other,2014Q2,0.0,G1ES,0.0615,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2014Q2,0.0,KCG,0.1242,0,AXA-KCG-NASDAQ-Other
AXA,NASDAQ,Other,2014Q3,0.0,ATDF,0.1962,0,AXA-ATDF-NASDAQ-Other
AXA,NASDAQ,Other,2014Q3,0.0,CDRG,0.35,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2014Q3,0.0,FBCO,0.0555,0,AXA-FBCO-NASDAQ-Other
AXA,NASDAQ,Other,2014Q3,0.0,G1ES,0.1849,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2014Q3,0.0,KCG,0.1361,0,AXA-KCG-NASDAQ-Other
AXA,NASDAQ,Other,2014Q3,0.0,UBSS,0.0341,0,AXA-UBSS-NASDAQ-Other
AXA,NASDAQ,Other,2014Q4,0.0,ATDF,0.1709,0,AXA-ATDF-NASDAQ-Other
AXA,NASDAQ,Other,2014Q4,0.0,CDRG,0.3326,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2014Q4,0.0,CFCO,0.0894,0,AXA-CFCO-NASDAQ-Other
AXA,NASDAQ,Other,2014Q4,0.0,FBCO,0.0668,0,AXA-FBCO-NASDAQ-Other
AXA,NASDAQ,Other,2014Q4,0.0,G1ES,0.1358,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2014Q4,0.0,KCG,0.1398,0,AXA-KCG-NASDAQ-Other
AXA,NASDAQ,Other,2014Q4,0.0,UBSS,0.0524,0,AXA-UBSS-NASDAQ-Other
AXA,NASDAQ,Other,2015Q1,0.0,ATDF,0.1843,0,AXA-ATDF-NASDAQ-Other
AXA,NASDAQ,Other,2015Q1,0.0,CDRG,0.2004,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2015Q1,0.0,CFCO,0.1791,0,AXA-CFCO-NASDAQ-Other
AXA,NASDAQ,Other,2015Q1,0.0,G1ES,0.1535,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2015Q1,0.0,KCG,0.1654,0,AXA-KCG-NASDAQ-Other
AXA,NASDAQ,Other,2015Q1,0.0,UBSS,0.0546,0,AXA-UBSS-NASDAQ-Other
AXA,NASDAQ,Other,2015Q2,0.0,ATDF,0.151,0,AXA-ATDF-NASDAQ-Other
AXA,NASDAQ,Other,2015Q2,0.0,CDRG,0.1925,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2015Q2,0.0,CFCO,0.1994,0,AXA-CFCO-NASDAQ-Other
AXA,NASDAQ,Other,2015Q2,0.0,G1ES,0.1574,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2015Q2,0.0,KCG,0.1528,0,AXA-KCG-NASDAQ-Other
AXA,NASDAQ,Other,2015Q2,0.0,UBSS,0.0592,0,AXA-UBSS-NASDAQ-Other
AXA,NASDAQ,Other,2015Q3,0.0,ATDF,0.1777,0,AXA-ATDF-NASDAQ-Other
AXA,NASDAQ,Other,2015Q3,0.0,CDRG,0.2045,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2015Q3,0.0,CFCO,0.1804,0,AXA-CFCO-NASDAQ-Other
AXA,NASDAQ,Other,2015Q3,0.0,G1ES,0.1915,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2015Q3,0.0,KCG,0.1563,0,AXA-KCG-NASDAQ-Other
AXA,NASDAQ,Other,2015Q4,0.0,ATDF,0.1471,0,AXA-ATDF-NASDAQ-Other
AXA,NASDAQ,Other,2015Q4,0.0,CDRG,0.1981,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2015Q4,0.0,CFCO,0.2539,0,AXA-CFCO-NASDAQ-Other
AXA,NASDAQ,Other,2015Q4,0.0,G1ES,0.1691,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2015Q4,0.0,KCG,0.1348,0,AXA-KCG-NASDAQ-Other
AXA,NASDAQ,Other,2016Q1,0.0,ATDF,0.142,0,AXA-ATDF-NASDAQ-Other
AXA,NASDAQ,Other,2016Q1,0.0,CDRG,0.2574,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2016Q1,0.0,CFCO,0.2029,0,AXA-CFCO-NASDAQ-Other
AXA,NASDAQ,Other,2016Q1,0.0,G1ES,0.1587,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2016Q1,0.0,KCG,0.1671,0,AXA-KCG-NASDAQ-Other
AXA,NASDAQ,Other,2016Q2,0.0,CDRG,0.2141,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2016Q2,0.0,CFCO,0.23399999999999999,0,AXA-CFCO-NASDAQ-Other
AXA,NASDAQ,Other,2016Q2,0.0,CITI,0.077,0,AXA-CITI-NASDAQ-Other
AXA,NASDAQ,Other,2016Q2,0.0,G1ES,0.2279,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2016Q2,0.0,SGMA,0.0807,0,AXA-SGMA-NASDAQ-Other
AXA,NASDAQ,Other,2016Q2,0.0,UBSS,0.0381,0,AXA-UBSS-NASDAQ-Other
AXA,NASDAQ,Other,2016Q2,0.0,VRTU,0.121,0,AXA-VRTU-NASDAQ-Other
AXA,NASDAQ,Other,2016Q3,0.0,CDRG,0.2059,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2016Q3,0.0,CFCO,0.2344,0,AXA-CFCO-NASDAQ-Other
AXA,NASDAQ,Other,2016Q3,0.0,G1ES,0.2535,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2016Q3,0.0,SGMA,0.1172,0,AXA-SGMA-NASDAQ-Other
AXA,NASDAQ,Other,2016Q3,0.0,VRTU,0.139,0,AXA-VRTU-NASDAQ-Other
AXA,NASDAQ,Other,2016Q4,0.0,CDRG,0.2419,0,AXA-CDRG-NASDAQ-Other
AXA,NASDAQ,Other,2016Q4,0.0,CFCO,0.1977,0,AXA-CFCO-NASDAQ-Other
AXA,NASDAQ,Other,2016Q4,0.0,G1ES,0.2203,0,AXA-G1ES-NASDAQ-Other
AXA,NASDAQ,Other,2016Q4,0.0,SGMA,0.1466,0,AXA-SGMA-NASDAQ-Other
AXA,NASDAQ,Other,2016Q4,0.0,UBSS,0.0393,0,AXA-UBSS-NASDAQ-Other
