MarketCenter,Quarter,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType,PrImp_ExpAmt,All_AvgT,MktCtrAvg_PrImp_Pct,Rel_PrImp_Pct,MktCtrAvg_PrImp_AvgT,Rel_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,Rel_PrImp_ExpAmt,MktCtrAvg_All_AvgT,Rel_All_AvgT
AQUA,2010Q3,Other,15,8460,33060774,32105799,0,134975,0,100,3600,26070,49388,-0.025317097981107612,0.0,0.0,,,0.0,,0.0,0.0,,134975,0.0,0.0,0.0,0.0,-3417.1753,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q4,NASDAQ,11,172,840667,566218,251600,22849,251600,1749,4100,7100,3300,-0.008176951273278457,-0.01026983847636537,271449.0,0.02031997170739255,92.17674369771117,300.0,881.0,2700.0,0.124,506.22592592592594,274449,25021284.900000002,5515.836,264300.0,1366810.0,-2244.1560999999992,-2818.5469,0.989069007356558,0.0010930992643441951,0.009837893379097755,Market,0.020097854246144093,97.1123775273366,0.5621986763455359,0.4268703310110221,19.652839204021415,72.52390449368976,0.005527603396478264,0.014570250849665829,20.01278368859008,77.09959383874653
AQUA,2010Q4,NASDAQ,12,27141,106412370,105755412,289200,279048,176500,98145,41093,84271,114979,0.004590846426208276,0.007175600969999016,396319.0,0.01235699121162498,404.0791569417565,102947.0,2132.5876509271757,68982.0,0.6616000000000001,427.858864631353,568248,160144247.39999998,4897.3104,219543500.89999998,29514560.199999996,2608.7393000000006,4077.520900000001,0.6974402021652518,0.1811656178288353,0.12139418000591291,Limit,0.008618262448789965,720.1121842927735,0.39061931444478315,0.30682088772046867,83.41933444224517,320.6598224995113,0.002572821459963677,0.006045440988826288,183.74335904855687,536.3688252442166
AQUA,2010Q4,NASDAQ,13,12747,48298895,48093484,71800,67261,54300,13500,8300,15700,25330,-0.0231824055630263,0.0,0.0,,,0.0,,0.0,0.0,,139061,0.0,0.0,0.0,0.0,-3223.7685,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q4,NASDAQ,14,9377,36710847,36426984,5000,139348,0,1600,4798,62587,38534,-0.010649681325685148,0.0,0.0,,,0.0,,0.0,0.0,,144348,0.0,0.0,0.0,0.0,-1537.2601999999997,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q4,NASDAQ,15,2079,8758282,8589240,0,81442,900,3200,700,19600,13557,0.007176412661771569,0.0,0.0,,,0.0,,0.0,0.0,,81442,0.0,0.0,0.0,0.0,584.4614000000001,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q4,NYSE,11,155,781461,705452,46700,17909,47500,1500,1000,7809,2600,-0.010583920196876604,-0.0004226609295918527,61398.0,0.016007365060751164,226.83270139092477,700.0,2261.1,2511.0,0.054,1395.6165671047393,64609,13927074.2,982.8201999999999,1582770.0,3504393.2,-683.8165000000005,-27.30770000000001,0.9503010416505441,0.010834403875621044,0.03886455447383491,Market,0.015211815691312356,294.297039112198,0.6452989915452151,0.305002050105329,55.86599036140106,170.9667110295237,0.005091036590444242,0.010120779100868114,66.4494290924728,227.84761001972518
AQUA,2010Q4,NYSE,12,12071,56397498,55875401,153000,244078,101200,35600,27008,69695,81297,-0.0238420917300883,-0.0002116508595288589,274062.0,0.015864038429260534,1152.3177317541288,72573.0,1587.4631198930733,50443.0,0.1956,1869.8964871240807,397078,315806502.20000005,4347.730100000001,115206961.00000001,94323188.5,-9467.170100000003,-84.04190000000023,0.6901968882688037,0.18276761744543893,0.12703549428575747,Limit,0.01094930995925234,1323.0061894640348,0.3659261051069743,0.32427078316182933,230.9570571324486,921.3606746216801,0.0026406857559622956,0.008308624203290045,280.88966518773316,1042.1165242763018
AQUA,2010Q4,NYSE,13,4416,18928186,18774136,35300,69390,35300,0,3000,19881,15247,0.01082459069634158,0.0,0.0,,,0.0,,0.0,0.0,,104690,0.0,0.0,0.0,0.0,1133.2264,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q4,NYSE,14,4196,18358448,18180722,5000,74138,0,200,1200,22070,28836,-0.00774560135459577,0.0,0.0,,,0.0,,0.0,0.0,,79138,0.0,0.0,0.0,0.0,-612.9714,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
AQUA,2010Q4,NYSE,15,1079,6043933,5859698,9000,59135,9000,0,6675,6674,29070,0.03594523813018272,0.0,0.0,,,0.0,,0.0,0.0,,68135,0.0,0.0,0.0,0.0,2449.1288,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
